〇,0; zéro,ling2
生殖健康,santé de la reproduction; santé reproductive; santé de la procréation,sheng1 zhi2 jian4 kang1
生殖力,fécondité; fécondité,sheng1 zhi2 li4
生殖器,appareil reproducteur; organes génitaux,sheng1 zhi2 qi4
生殖器官,appareil reproducteur,sheng1 zhi2 qi4 guan1
生殖系统,système reproducteur,sheng1 zhi2 xi4 tong3
生殖腺,Gonade,sheng1 zhi2 xian4
生母,mère biologique,sheng1 mu3
生气,se mettre en colère; vitalité; dynamisme,sheng1 qi4
生气勃勃,animation,sheng1 qi4 bo2 bo2
生水,eau non bouillie,sheng1 shui3
生油,huile crue,sheng1 you2
生活,vie,sheng1 huo2
生活习性,habitudes (de vie),sheng1 huo2 xi2 xing4
生活习惯,us et coutumes,sheng1 huo2 xi2 guan4
生活作风,comportement; conduite; art de vivre,sheng1 huo2 zuo4 feng1
生活区,centre communautaire,sheng1 huo2 qu1
生活垃圾,ordures ménagères,sheng1 huo2 la1 ji1
生活必需品,nécessaire,sheng1 huo2 bi4 xu1 pin3
生活方式,mode de vie,sheng1 huo2 fang1 shi4
生活服务,services de zone-vie; services essentiels,sheng1 huo2 fu4 wu4
生活水平,niveau de vie,sheng1 huo2 shui3 ping2
生活环境,cadre de vie,sheng1 huo2 huan2 jing4
生活用品,article ménager,sheng1 huo2 yong4 pin3
生活质量,qualité de vie,sheng1 huo2 zhi4 liang4
生活费,coût de la vie; frais de subsistance; pension alimentaire,sheng1 huo2 fei4
生活资料,biens de consommation; moyens de subsistance; documents relatifs à la vie de qqn,sheng1 huo2 zi1 liao4
生涩,viande séchée,sheng1 se4
生涯,carrière; profession; occupation; métier,sheng1 ya2
生源,étudiants,sheng1 yuan2
生漆,vernis,sheng1 qi1
生火,chauffe,sheng1 huo3
生灭,la vie et la mort,sheng1 mie4
生灵,(littéraire) le peuple; chose vivante; créature,sheng1 ling2
生父,père biologique,sheng1 fu4
生物,organisme (physiologie),sheng1 wu4
生物体,organisme (physiologie),sheng1 wu4 ti3
生物制剂,produit biologique,sheng1 wu4 zhi4 ji4
生物制品,produit biologique,sheng1 wu4 zhi4 pin3
生物化学,biochimie,sheng1 wu4 hua4 xue2
生物反应器,bioréacteur,sheng1 wu4 fan3 ying4 qi4
生物圈,biosphère,sheng1 wu4 quan1
生物多样性,biodiversité,sheng1 wu4 duo1 yang4 xing4
生物学,biologie,sheng1 wu4 xue2
生物学家,biologiste,sheng1 wu4 xue2 jia1
生物工程,génie biologique,sheng1 wu4 gong1 cheng2
生物技术,biotechnologie,sheng1 wu4 ji4 shu4
生物武器,guerre biologique; arme biologique,sheng1 wu4 wu3 qi4
生物气候,bioclimatique,sheng1 wu4 qi4 hou4
生物界,biosphère; monde naturel,sheng1 wu4 jie4
生物碱,alcaloïde,sheng1 wu4 jian3
生物科学,biologie,sheng1 wu4 ke1 xue2
生物科技,biotechnologie,sheng1 wu4 ke1 ji4
生物能源,bioénergie,sheng1 wu4 neng2 yuan2
生物节律,chronobiologie,sheng1 wu4 jie2 lu:4
生物质能,biomasse,sheng1 wu4 zhi4 neng2
生物资源,ressources biologiques,sheng1 wu4 zi1 yuan2
生物钟,chronobiologie,sheng1 wu4 zhong1
生物链,réseau trophique,sheng1 wu4 lian4
生物降解,biodégradation,sheng1 wu4 jiang4 jie3
生猛,plein de vie; violent; brave; frais (fruits de mer),sheng1 meng3
生理,physiologie,sheng1 li3
生理学,physiologie,sheng1 li3 xue2
生理盐水,solution physiologique,sheng1 li3 yan2 shui3
生生不息,croître et à se multiplier sans fin; génération après génération; interminable,sheng1 sheng1 bu4 xi1
生番,barbares; sauvages aborigènes,sheng1 fan1
生疏,peu familier; inconnu; étranger; rouillé; pas aussi intime qu'autrefois; hors d'usage,sheng1 shu1
生疼,extrêmement douloureux,sheng1 teng2
生病,tomber malade,sheng1 bing4
生皮,peau (alimentation); fourrure brute,sheng1 pi2
生石灰,oxyde de calcium,sheng1 shi2 hui1
生石膏,Gypse,sheng1 shi2 gao1
生硬,dur; rigide; peu naturel; affecté; forcé,sheng1 ying4
生离死别,séparés dans la vie et la mort; partir pour toujours,sheng1 li2 si3 bie2
生米,riz grossier; riz non cuit,sheng1 mi3
生米做成熟饭,(expr. idiom.) le riz est cuit; ce qui est fait est fait; il est trop tard pour changer quoi que ce soit,sheng1 mi3 zuo4 cheng2 shu2 fan4
生米煮成熟饭,(expr. idiom.) le riz est cuit; ce qui est fait est fait; il est trop tard pour changer quoi que ce soit,sheng1 mi3 zhu3 cheng2 shu2 fan4
生老病死,"lit. être né, vieillir, devenir malade et mourir; fig. le destin de l'humanité (mortalité)",sheng1 lao3 bing4 si3
生肉,viande crue,sheng1 rou4
生肖,les 12 signes astrologiques chinois,sheng1 xiao4
生育,enfanter; engendrer,sheng1 yu4
生育率,taux de fécondité,sheng1 yu4 lu:4
生育能力,fertilité,sheng1 yu4 neng2 li4
生胶,caoutchouc non vulcanisé,sheng1 jiao1
生花妙笔,bel écrit,sheng1 hua1 miao4 bi3
生药学,pharmacognosie,sheng1 yao4 xue2
生菜,laitue,sheng1 cai4
生计,subsistance; pain,sheng1 ji4
生词,nouveau mot,sheng1 ci2
生财,faire de l'argent,sheng1 cai2
生路,moyens d'existence; issue; sortie,sheng1 lu4
生辉,"éblouir; égayer (une pièce, etc.)",sheng1 hui1
生辰,jour de naissance; anniversaire,sheng1 chen2
生还,rentrer sain et sauf; survivre,sheng1 huan2
生还者,survivant,sheng1 huan2 zhe3
生铁,fonte brute,sheng1 tie3
生锈,rouiller,sheng1 xiu4
生长,pousser; grandir,sheng1 zhang3
生长因子,facteur de croissance,sheng1 zhang3 yin1 zi3
生长期,période de croissance,sheng1 zhang3 qi1
生长激素,hormone de croissance,sheng1 zhang3 ji1 su4
生长素,Auxine,sheng1 zhang3 su4
生鱼片,sashimi,sheng1 yu2 pian4
生龙活虎,(expr. idiom.) aussi vif et ardent qu'un tigre ou un dragon; d'une vivacité extrême; être plein de dynamisme; alerte; vif; intrépide,sheng1 long2 huo2 hu3
甡,multitude; foule,shen1
甥,neveu (fils de soeur),sheng1
用,utiliser; employer; avoir à faire ceci ou cela; manger ou boire; frais ou dépenses; utilité; c'est pourquoi; donc; par conséquent,yong4
用不着,ne pas avoir besoin de,yong4 bu5 zhao2
用于,consacrer; affecter,yong4 yu2
用人,sélection professionnelle; choisir qqn pour lui confier un travail; utiliser les capacités des gens,yong4 ren2
用以,afin de; de façon à,yong4 yi3
用作,utiliser dans le but de; servir de,yong4 zuo4
用光,épuiser; épuisé,yong4 guang1
用具,matériel; ustensile,yong4 ju4
用力,s'efforcer,yong4 li4
用功,studieux; qui fait de gros efforts,yong4 gong1
用品,objet; article,yong4 pin3
用场,usage; utilité,yong4 chang3
用处,utilité; usage,yong4 chu5
用字,diction,yong4 zi4
用完,utilisé; terminé,yong4 wan2
用尽,échappement; utiliser complètement,yong4 jin4
用得着,avoir besoin de,yong4 de5 zhao2
用心,intention; dessein; avec attention; attentivement,yong4 xin1
用意,intention; dessein,yong4 yi4
用户,usager; consommateur; utilisateur,yong4 hu4
用户名,nom d'utilisateur; ID d'utilisateur; pseudonyme,yong4 hu4 ming2
用户界面,Interface (informatique),yong4 hu4 jie4 mian4
用料,ingrédients; matériel,yong4 liao4
用来,être utilisé pour,yong4 lai2
用水,utilisation de l'eau,yong4 shui3
用水量,consommation d'eau,yong4 shui3 liang2
用法,usage; mode d'emploi,yong4 fa3
用电负荷,charge électrique,yong4 dian4 fu4 he2
用膳,repas,yong4 shan4
用药,usage de drogues,yong4 yao4
用词,libellé; phrasé,yong4 ci2
用语,terme; vocabulaire,yong4 yu3
用过,d'occasion; utilisé,yong4 guo4
用途,usage; utilité,yong4 tu2
用量,quantité utilisée; utilisation; consommation; dose,yong4 liang4
用钱,dépenser de l'argent,yong4 qian5
用餐,manger un repas,yong4 can1
用饭,manger; prendre un repas,yong4 fan4
甩,balancer; agiter; lancer; abandonner,shuai3
甩动,secouer; lancer son bras; fouetter; balancer,shuai3 dong4
甩卖,promotion; solder des invendus,shuai3 mai4
甩头,jeter la tête en arrière,shuai3 tou2
甩开,se débarrasser de; se débarrasser de,shuai3 kai1
甩手,balancer les bras; se laver les mains de qch,shuai3 shou3
甩掉,se défaire de; se débarrasser de,shuai3 diao4
甪,(nom de famille),Lu4
甫,à peine,fu3
甬,Ningbo,yong3
甬道,corridor; couloir,yong3 dao4
甭,ce n'est pas la peine de; il n'est pas nécessaire de,beng2
甯,préférer; repos; (nom de famille),ning2
田,champ,tian2
田中,Tanaka,Tian2 zhong1
田中角荣,Kakuei Tanaka,Tian2 zhong1 Jiao3 rong2
田产,immobilier; terres,tian2 chan3
田地,rizière,tian2 di4
田径,athlétisme,tian2 jing4
田径赛,athlétisme,tian2 jing4 sai4
田径运动,athlétisme,tian2 jing4 yun4 dong4
田汉,Tian Han,Tian2 Han4
田纳西,Tennessee,Tian2 na4 xi1
田纳西州,Tennessee,Tian2 na4 xi1 zhou1
田螺,escargot de rivière,tian2 luo2
田赋,taxe foncière,tian2 fu4
田赛,Athlétisme,tian2 sai4
田野,campagne; champ,tian2 ye3
田野工作,Terrain (anthropologie),tian2 ye3 gong1 zuo4
田间,champs; campagne,tian2 jian1
田间管理,gestion des terres,tian2 jian1 guan3 li3
田鸡,Hoplobatrachus rugulosus,tian2 ji1
田鼠,Arvicolinae,tian2 shu3
由,cause; raison; suivre; laisser faire; à cause de; en raison de; par; de,you2
由不得,ne peut pas aider; être derrière le contrôle de,you2 bu4 de5
由于,à cause; en raison de,you2 yu2
由头,prétexte; excuse; justification; raison pour,you2 tou5
由来,origine; provenance,you2 lai2
由来已久,depuis longtemps; dater de longtemps; il y a belle lurette que...,you2 lai2 yi3 jiu3
由此,de là; par là; d'où,you2 ci3
由此可见,"de cela, on peut déduire que...",you2 ci3 ke3 jian4
由衷,sincère,you2 zhong1
甲,le premier des 10 Troncs célestes; le premier; le meilleur; carapace; armure,jia3
甲亢,hyperthyroïdie,jia3 kang4
甲午战争,Guerre sino-japonaise (1894-1895),Jia3 wu3 Zhan4 zheng1
甲型,type A; type I; alpha-,jia3 xing2
甲型球蛋白,alpha globuline; alpha fétoprotéine (AFP),jia3 xing2 qiu2 dan4 bai2
甲基,méthyle; groupe méthyle,jia3 ji1
甲基化,Méthylation,jia3 ji1 hua4
甲壳,carapace,jia3 qiao4
甲壳动物,phyllopodes,jia3 qiao4 dong4 wu4
甲壳类,Crustacé,jia3 qiao4 lei4
甲壳素,Chitine,jia3 qiao4 su4
甲子,Jiazi,jia3 zi3
甲戌,Jiaxu,jia3 xu1
甲板,pont (d'un navire),jia3 ban3
甲沟炎,Panaris,jia3 gou1 yan2
甲烷,méthane,jia3 wan2
甲状腺,thyroïde,jia3 zhuang4 xian4
甲状腺素,Thyroxine,jia3 zhuang4 xian4 su4
甲状腺肿,goitre,jia3 zhuang4 xian4 zhong3
甲申,Jiashen,jia3 shen1
甲等,grade A; de première classe,jia3 deng3
甲肝,Hépatite A,jia3 gan1
甲胄,armure,jia3 zhou4
甲胺,Méthylamine,jia3 an4
甲胺磷,Méthamidophos,jia3 an4 lin2
甲苯,toluène,jia3 ben3
甲虫,coléoptère,jia3 chong2
甲酚,Crésol,jia3 fen1
甲酰胺,formamide,jia3 xian1 an4
甲酸,acide méthanoïque,jia3 suan1
甲醇,méthanol,jia3 chun2
甲醚,Méthoxyméthane,jia3 mi2
甲醛,méthanal; formaldéhyde; formol,jia3 quan2
甲锗烷,germane,jia3 zhe3 wan2
甲骨,écriture ossécaille,jia3 gu3
甲骨文,jia gu wen,jia3 gu3 wen2
甲鱼,tortue molle,jia3 yu2
申,le 9e des 12 Rameaux terrestres; affirmer; exprimer,shen1
申冤,appeler à la justice; demander des réparations pour un deuil,shen1 yuan1
申办,soumissionner pour; poser ou présenter sa candidature pour,shen1 ban4
申屠,(nom de famille); Shentu,Shen1 tu2
申报,déclarer,shen1 bao4
申斥,avertissement; remontrances,shen1 chi4
申时,de 15 à 17 heures,shen1 shi2
申明,déclarer,shen1 ming2
申诉,interjecter; appel; faire appel à; avoir recours à,shen1 su4
申请,se porter candidat pour; présenter une demande de,shen1 qing3
申请书,demande; supplique,shen1 qing3 shu1
申请人,demandeur,shen1 qing3 ren2
申请表,formulaire de demande,shen1 qing3 biao3
申辩,se défendre; se justifier,shen1 bian4
申述,expliquer en détail,shen1 shu4
申雪,Shen Xue,shen1 xue3
申领,"faire une demande (de visa, licence, etc.)",shen1 ling3
电,éclair; électricité,dian4
电价,prix de l'électricité,dian4 jia4
电传,Téléscripteur,dian4 chuan2
电位,Potentiel électrique,dian4 wei4
电位器,potentiomètre,dian4 wei4 qi4
电位差,tension électrique,dian4 wei4 cha1
电信,télécommunications,dian4 xin4
电信号,signal électrique,dian4 xin4 hao4
电信局,Chunghwa Telecom,dian4 xin4 ju2
电信资费,coûts de télécommunication,dian4 xin4 zi1 fei4
电光,lumière électrique; éclair; électro-optique,dian4 guang1
电冰箱,réfrigérateur,dian4 bing1 xiang1
电击,choc électrique; foudroyer,dian4 ji1
电刑,torturer avec l'électricité; électrocution (peine capitale),dian4 xing2
电力,électricité; force,dian4 li4
电力工业,industrie électrique,dian4 li4 gong1 ye4
电力线路,ligne électrique,dian4 li4 xian4 lu4
电力网,réseau électrique,dian4 li4 wang3
电功率,énergie électrique (mesurée en watts),dian4 gong1 lu:4
电动,énergie électrique,dian4 dong4
电动势,force électromotrice,dian4 dong4 shi4
电动机,machine électrique,dian4 dong4 ji1
电动汽车,voiture électrique,dian4 dong4 qi4 che1
电动玩具,jouet à pile; jeu informatique,dian4 dong4 wan2 ju4
电动葫芦,palan électrique à chaîne,dian4 dong4 hu2 lu5
电动车,voiture électrique,dian4 dong4 che1
电动转盘,platine électrique; plaque tournante électrique,dian4 dong4 zhuan4 pan2
电势,potentiel électrique,dian4 shi4
电化学,électrochimie,dian4 hua4 xue2
电化教育,enseignement multimédia,dian4 hua4 jiao4 yu4
电单车,motocyclette,dian4 dan1 che1
电厂,centrale électrique,dian4 chang3
电压,tension électrique,dian4 ya1
电压表,voltmètre,dian4 ya1 biao3
电台,Station de radio,dian4 tai2
电吉他,guitare électrique,dian4 ji2 ta1
电吹风,sèche-cheveux,dian4 chui1 feng1
电告,télégraphe,dian4 gao4
电唱机,électrophone; tourne-disque; phono; phonographe; pick-up; électrophone,dian4 chang4 ji1
电器,appareil électroménager,dian4 qi4
电场,champ électrique,dian4 chang3
电子,électronique; électron,dian4 zi3
电子书,livre électronique; e-book; lecteur ebook,dian4 zi5 shu1
电子书籍,livre numérique; livre électronique; e-book,dian4 zi3 shu1 ji2
电子产品,électroménager,dian4 zi3 chan3 pin3
电子仪器,appareil électronique,dian4 zi3 yi2 qi4
电子信箱,boîte à lettres électronique; (adresse) courriel,dian4 zi3 xin4 xiang1
电子元件,composant électronique,dian4 zi3 yuan2 jian4
电子元器件,composant électronique,dian4 zi3 yuan2 qi4 jian4
电子商务,commerce électronique,dian4 zi3 shang1 wu4
电子器件,équipement électrique,dian4 zi3 qi4 jian4
电子图书,livre électronique,dian4 zi3 tu2 shu1
电子学,électronique,dian4 zi3 xue2
电子工业,industries électroniques,dian4 zi3 gong1 ye4
电子市场,marché électronique,dian4 zi3 shi4 chang3
电子战,guerre électronique,dian4 zi3 zhan4
电子手帐,agenda électronique; PDA,dian4 zi3 shou3 zhang4
电子技术,technologie électronique,dian4 zi3 ji4 shu4
电子政务,cybergouvernement (générique); administration en ligne (spécifique),dian4 zi3 zheng4 wu4
电子显微镜,microscope électronique,dian4 zi3 xian3 wei1 jing4
电子机票,billet électronique; e-billet,dian4 zi3 ji1 piao4
电子束,rayon cathodique,dian4 zi3 shu4
电子枪,canon à électrons à faisceau,dian4 zi3 qiang1
电子游戏,jeu vidéo,dian4 zi3 you2 xi4
电子狗,Aibo,dian4 zi3 gou3
电子琴,piano électronique,dian4 zi3 qin2
电子电路,circuit électronique,dian4 zi3 dian4 lu4
电子盘,clé USB,dian4 zi5 pan2
电子眼,oeil électronique,dian4 zi3 yan3
电子科技大学,Université des Sciences Electroniques et de Technologie,Dian4 zi3 Ke1 ji4 Da4 xue2
电子竞技,sport électronique,dian4 zi3 jing4 ji4
电子管,tube électronique,dian4 zi3 guan3
电子系统,système électronique,dian4 zi3 xi4 tong3
电子表格,tableur,dian4 zi3 biao3 ge2
电子警察,caméra de circulation; radar,dian4 zi3 jing3 cha2
电子计算机,ordinateur,dian4 zi3 ji4 suan4 ji1
电子设备,équipement électronique,dian4 zi3 she4 bei4
电子贺卡,carte électronique; carte virtuelle; e-carte,dian4 zi3 he4 ka3
电子邮件,courrier électronique,dian4 zi3 you2 jian4
电子邮件地址,courrier électronique; adresse courriel,dian4 zi3 you2 jian4 di4 zhi3
电子邮箱,courrier électronique,dian4 zi3 you2 xiang1
电子镇流器,Ballast (électricité),dian4 zi3 zhen4 liu2 qi4
电子音乐,musique électronique,dian4 zi3 yin1 yue4
电学,electricité,dian4 xue2
电容,capacité électrique,dian4 rong2
电容器,condensateur (électricité),dian4 rong2 qi4
电导,conductance électrique,dian4 dao3
电导率,conductivité électrique,dian4 dao3 lu:4
电工,électricien; électrique,dian4 gong1
电工学,génie électrique,dian4 gong1 xue2
电弧,arc électrique,dian4 hu2
电弧炉,four à arc,dian4 hu2 lu2
电影,cinéma; film,dian4 ying3
电影业,industrie cinématographique,dian4 ying3 ye4
电影制片厂,Studio de cinéma,dian4 ying3 zhi4 pian4 chang3
电影剧本,scénario (d'un film),dian4 ying3 ju4 ben3
电影学,cinématographie,dian4 ying3 xue2
电影导演,réalisateur,dian4 ying3 dao3 yan3
电影海报,affiche de cinéma,dian4 ying5 hai3 bao4
电影演员,acteur de cinéma,dian4 ying3 yan3 yuan2
电影界,monde du cinéma,dian4 ying3 jie4
电影票,ticket de cinéma,dian4 ying3 piao4
电影节,festival de cinéma,dian4 ying3 jie2
电影院,salle de cinéma,dian4 ying3 yuan4
电感,Inductance,dian4 gan3
电感线圈,bobine d'inductance,dian4 gan3 xian4 juan4
电扇,ventilateur,dian4 shan4
电抗,réactance,dian4 kang4
电抗器,bobine (électricité),dian4 kang4 qi4
电报,télégraphe,dian4 bao4
电报局,bureau du télégraphe,dian4 bao4 ju2
电控,commande électrique,dian4 kong4
电教,enseignement multimédia,dian4 jiao4
电晶体,transistor,dian4 jing1 ti3
电木,bakélite,dian4 mu4
电机,machine électrique,dian4 ji1
电机工程,électrotechnique,dian4 ji1 gong1 cheng2
电杆,poteau électrique; poteau télégraphique,dian4 gan3
电极,électrode,dian4 ji2
电桥,pont de Wheatstone,dian4 qiao2
电梯,ascenseur; escalator,dian4 ti1
电椅,chaise électrique,dian4 yi3
电气,électrique,dian4 qi4
电气化,électrification,dian4 qi4 hua4
电气工程,génie électrique,dian4 qi4 gong1 cheng2
电气石,tourmaline,dian4 qi4 shi2
电气设备,matériel éléctrique,dian4 qi4 she4 bei4
电水壶,bouilloire électrique,dian4 shui3 hu2
电汇,virement bancaire,dian4 hui4
电池,pile électrique; batterie (électrique),dian4 chi2
电波,onde électrique; courant alternatif,dian4 bo1
电泳,électrophorèse,dian4 yong3
电流,courant électrique,dian4 liu2
电流强度,courant électrique,dian4 liu2 qiang2 du4
电流表,ampèremètre,dian4 liu2 biao3
电源,source d'alimentation; source de courant,dian4 yuan2
电源开关,commutateur de puissance,dian4 yuan2 kai1 guan1
电源插头,fiche d'alimentation,dian4 yuan2 cha1 tou2
电源线,câble d'alimentation,dian4 yuan2 xian4
电火花,étincelle électrique,dian4 huo3 hua1
电灯,lampe électrique,dian4 deng1
电灯泡,lampe à incandescence classique,dian4 deng1 pao4
电炉,réchaud électrique,dian4 lu2
电烙铁,fer à repasser électrique,dian4 lao4 tie5
电热,chauffage électrique,dian4 re4
电热毯,couverture chauffante,dian4 re4 tan3
电焊,soudure électrique,dian4 han4
电焊工,soudeuse électrique,dian4 han4 gong1
电玩,jeu vidéo,dian4 wan2
电珠,ampoule,dian4 zhu1
电瓶,batterie au plomb,dian4 ping2
电瓶车,véhicule électrique,dian4 ping2 che1
电疗,électrothérapie,dian4 liao2
电眼,yeux expressifs,dian4 yan3
电石,carbure de calcium,dian4 shi2
电码,alphabet morse,dian4 ma3
电磁,électromagnétisme,dian4 ci2
电磁场,champ électromagnétique,dian4 ci2 chang3
电磁学,électromagnétisme,dian4 ci2 xue2
电磁干扰,interférence électromagnétique,dian4 ci2 gan1 rao3
电磁感应,courant induit,dian4 ci2 gan3 ying4
电磁波,rayonnement électromagnétique; onde électromagnétique,dian4 ci2 bo1
电磁炉,plaque à induction,dian4 ci2 lu2
电磁辐射,rayonnement électromagnétique,dian4 ci2 fu2 she4
电磁铁,électroaimant,dian4 ci2 tie3
电磁阀,électrovanne,dian4 ci2 fa2
电离,ionisation,dian4 li2
电离层,ionosphère,dian4 li2 ceng2
电离辐射,rayonnement ionisant,dian4 li2 fu2 she4
电站,centrale électrique,dian4 zhan4
电筒,torche électrique,dian4 tong3
